CoC Number,CoC Name,"Overall Homeless, 2013","Sheltered ES Homeless, 2013","Sheltered TH Homeless, 2013","Sheltered SH Homeless, 2013","Sheltered Total Homeless, 2013","Unsheltered Homeless, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Overall Homeless People in Families, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered Total Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Sheltered Total Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AK-500,Anchorage CoC,"1,122",676,394,0,"1,070",52,844,2,553,2,239,0,0,792,2,52,0,278,123,155,278,0,87,38,49,87,0,89,68,0,68,21,83,62,0,62,21,6,6,6,0,144,138,6
AK-501,Alaska Balance of State CoC,824,461,210,0,671,153,518,16,282,8,134,4,0,416,12,102,4,306,179,76,255,51,109,67,28,95,14,95,70,0,70,25,83,62,0,62,21,12,8,8,4,66,50,16
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,469",373,556,31,960,509,"1,089",10,294,5,352,0,31,677,5,412,5,380,79,204,283,97,131,25,63,88,43,427,126,30,156,271,411,115,30,145,266,16,11,11,5,194,155,39
AL-501,Mobile City & County/Baldwin County CoC,493,153,107,0,260,233,343,0,99,0,23,0,0,122,0,221,0,150,54,84,138,12,51,18,28,46,5,91,10,0,10,81,89,8,0,8,81,2,2,2,0,41,5,36
AL-502,Florence/Northwest Alabama CoC,223,22,175,0,197,26,133,0,11,0,105,0,0,116,0,17,0,90,11,70,81,9,24,3,19,22,2,30,10,0,10,20,14,5,0,5,9,16,5,5,11,2,0,2
AL-503,Huntsville/North Alabama CoC,586,320,89,0,409,177,457,0,262,0,33,0,0,295,0,162,0,129,58,56,114,15,41,20,17,37,4,120,46,0,46,74,114,44,0,44,70,6,2,2,4,77,33,44
AL-504,Montgomery City & County CoC,515,159,240,0,399,116,446,0,136,0,194,0,0,330,0,116,0,69,23,46,69,0,21,6,15,21,0,69,11,0,11,58,69,11,0,11,58,0,0,0,0,59,44,15
AL-505,Gadsden/Northeast Alabama CoC,399,159,170,0,329,70,275,4,66,4,165,0,0,231,4,44,0,124,93,5,98,26,61,46,2,48,13,40,20,0,20,20,20,10,0,10,10,20,10,10,10,31,26,5
AL-506,Tuscaloosa City & County CoC,99,11,84,0,95,4,72,0,9,0,59,0,0,68,0,4,0,27,2,25,27,0,6,1,5,6,0,9,5,0,5,4,9,5,0,5,4,0,0,0,0,66,66,0
AL-507,Alabama Balance of State CoC,905,358,239,0,597,308,572,66,174,28,199,0,0,373,28,199,38,333,184,40,224,109,160,87,20,107,53,72,37,0,37,35,42,21,0,21,21,30,16,16,14,41,34,7
