CoC Number,CoC Name,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Year,Overall Homeless Veterans,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Non-Hispanic/Non-Latino,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races
CA-500,San Jose/Santa Clara City & County CoC,7202,2101,5101,2007,,,,,,,,,,,,
CA-501,San Francisco CoC,5703,2912,2791,2007,,,,,,,,,,,,
CA-502,Oakland Berkeley/Alameda County CoC,4838,2342,2496,2007,,,,,,,,,,,,
CA-503,Sacramento City & County CoC,2452,1447,1005,2007,,,,,,,,,,,,
CA-504,Santa Rosa Petaluma/Sonoma County CoC,1314,782,532,2007,,,,,,,,,,,,
CA-505,Richmond/Contra Costa County CoC,4062,903,3159,2007,,,,,,,,,,,,
CA-506,Salinas/Monterey San Benito Counties CoC,1402,509,893,2007,,,,,,,,,,,,
CA-507,Marin County CoC,1002,602,400,2007,,,,,,,,,,,,
CA-508,Watsonville/Santa Cruz City & County CoC,2789,486,2303,2007,,,,,,,,,,,,
CA-509,Mendocino County CoC,1422,284,1138,2007,,,,,,,,,,,,
CA-510,Turlock Modesto/Stanislaus County CoC,1593,634,959,2007,,,,,,,,,,,,
CA-511,Stockton/San Joaquin County CoC,2479,2176,303,2007,,,,,,,,,,,,
CA-512,Daly/San Mateo County CoC,1798,704,1094,2007,,,,,,,,,,,,
CA-513,Visalia/Kings Tulare Counties CoC,1106,280,826,2007,,,,,,,,,,,,
CA-514,Fresno City & County/Madera County CoC,4247,2735,1512,2007,,,,,,,,,,,,
CA-515,Roseville Rocklin/Placer County CoC,587,450,137,2007,,,,,,,,,,,,
CA-516,Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC,296,250,46,2007,,,,,,,,,,,,
CA-517,Napa City & County CoC,365,219,146,2007,,,,,,,,,,,,
CA-518,Vallejo/Solano County CoC,1956,457,1499,2007,,,,,,,,,,,,
CA-519,Chico Paradise/Butte County CoC,1478,936,542,2007,,,,,,,,,,,,
CA-520,Merced City & County CoC,2641,221,2420,2007,,,,,,,,,,,,
CA-521,Davis Woodland/Yolo County CoC,414,228,186,2007,,,,,,,,,,,,
CA-522,Humboldt County CoC,907,322,585,2007,,,,,,,,,,,,
CA-523,Colusa Glenn Trinity Counties CoC,155,54,101,2007,,,,,,,,,,,,
CA-524,Yuba City & County/Sutter County CoC,362,299,63,2007,,,,,,,,,,,,
CA-525,El Dorado County CoC,107,91,16,2007,,,,,,,,,,,,
CA-526,Amador Calaveras Mariposa Tuolumne Counties CoC,400,79,321,2007,,,,,,,,,,,,
CA-600,Los Angeles City & County CoC,47862,11442,36420,2007,,,,,,,,,,,,
CA-601,San Diego City and County CoC,7326,3981,3345,2007,,,,,,,,,,,,
CA-602,Santa Ana Anaheim/Orange County CoC,3649,2578,1071,2007,,,,,,,,,,,,
CA-603,Santa Maria/Santa Barbara County CoC,4253,1480,2773,2007,,,,,,,,,,,,
CA-604,Bakersfield/Kern County CoC,1537,905,632,2007,,,,,,,,,,,,
CA-606,Long Beach CoC,3829,1679,2150,2007,,,,,,,,,,,,
CA-607,Pasadena CoC,969,434,535,2007,,,,,,,,,,,,
CA-608,Riverside City & County CoC,4508,1330,3178,2007,,,,,,,,,,,,
CA-609,San Bernardino City & County CoC,6969,1220,5749,2007,,,,,,,,,,,,
CA-611,Oxnard San Buenaventura/Ventura County CoC,1961,426,1535,2007,,,,,,,,,,,,
CA-612,Glendale CoC,296,233,63,2007,,,,,,,,,,,,
CA-613,Imperial County CoC,342,113,229,2007,,,,,,,,,,,,
CA-614,San Luis Obispo County CoC,2408,187,2221,2007,,,,,,,,,,,,
CA-500,San Jose/Santa Clara City & County CoC,7202,2101,5101,2008,,,,,,,,,,,,
CA-501,San Francisco CoC,5171,2400,2771,2008,,,,,,,,,,,,
CA-502,Oakland Berkeley/Alameda County CoC,4838,2342,2496,2008,,,,,,,,,,,,
CA-503,Sacramento City & County CoC,2615,1349,1266,2008,,,,,,,,,,,,
CA-504,Santa Rosa Petaluma/Sonoma County CoC,1314,782,532,2008,,,,,,,,,,,,
CA-505,Richmond/Contra Costa County CoC,4062,903,3159,2008,,,,,,,,,,,,
CA-506,Salinas/Monterey San Benito Counties CoC,1402,509,893,2008,,,,,,,,,,,,
CA-507,Marin County CoC,1002,602,400,2008,,,,,,,,,,,,
CA-508,Watsonville/Santa Cruz City & County CoC,2789,486,2303,2008,,,,,,,,,,,,
CA-509,Mendocino County CoC,1423,285,1138,2008,,,,,,,,,,,,
CA-510,Turlock Modesto/Stanislaus County CoC,1593,634,959,2008,,,,,,,,,,,,
CA-511,Stockton/San Joaquin County CoC,2354,2051,303,2008,,,,,,,,,,,,
CA-512,Daly/San Mateo County CoC,1798,704,1094,2008,,,,,,,,,,,,
CA-513,Visalia/Kings Tulare Counties CoC,1040,189,851,2008,,,,,,,,,,,,
CA-514,Fresno City & County/Madera County CoC,3507,1951,1556,2008,,,,,,,,,,,,
CA-515,Roseville Rocklin/Placer County CoC,587,450,137,2008,,,,,,,,,,,,
CA-516,Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC,263,201,62,2008,,,,,,,,,,,,
CA-517,Napa City & County CoC,365,219,146,2008,,,,,,,,,,,,
CA-518,Vallejo/Solano County CoC,1956,457,1499,2008,,,,,,,,,,,,
CA-519,Chico Paradise/Butte County CoC,592,322,270,2008,,,,,,,,,,,,
CA-520,Merced City & County CoC,2455,135,2320,2008,,,,,,,,,,,,
CA-521,Davis Woodland/Yolo County CoC,414,228,186,2008,,,,,,,,,,,,
CA-522,Humboldt County CoC,907,322,585,2008,,,,,,,,,,,,
CA-523,Colusa Glenn Trinity Counties CoC,193,0,193,2008,,,,,,,,,,,,
CA-524,Yuba City & County/Sutter County CoC,594,483,111,2008,,,,,,,,,,,,
CA-525,El Dorado County CoC,150,75,75,2008,,,,,,,,,,,,
CA-526,Amador Calaveras Mariposa Tuolumne Counties CoC,400,79,321,2008,,,,,,,,,,,,
CA-600,Los Angeles City & County CoC,47862,11442,36420,2008,,,,,,,,,,,,
CA-601,San Diego City and County CoC,8455,4417,4038,2008,,,,,,,,,,,,
CA-602,Santa Ana Anaheim/Orange County CoC,3649,2578,1071,2008,,,,,,,,,,,,
CA-603,Santa Maria/Santa Barbara County CoC,4253,1480,2773,2008,,,,,,,,,,,,
CA-604,Bakersfield/Kern County CoC,1537,905,632,2008,,,,,,,,,,,,
CA-606,Long Beach CoC,3829,1679,2150,2008,,,,,,,,,,,,
CA-607,Pasadena CoC,983,434,549,2008,,,,,,,,,,,,
CA-608,Riverside City & County CoC,4508,1330,3178,2008,,,,,,,,,,,,
CA-609,San Bernardino City & County CoC,6969,1220,5749,2008,,,,,,,,,,,,
CA-611,Oxnard San Buenaventura/Ventura County CoC,1961,551,1410,2008,,,,,,,,,,,,
CA-612,Glendale CoC,296,233,63,2008,,,,,,,,,,,,
CA-613,Imperial County CoC,393,156,237,2008,,,,,,,,,,,,
CA-614,San Luis Obispo County CoC,850,281,569,2008,,,,,,,,,,,,
CA-500,San Jose/Santa Clara City & County CoC,7086,2103,4983,2009,,,,,,,,,,,,
CA-501,San Francisco CoC,5823,2881,2942,2009,,,,,,,,,,,,
CA-502,Oakland Berkeley/Alameda County CoC,4341,2378,1963,2009,,,,,,,,,,,,
CA-503,Sacramento City & County CoC,2800,1606,1194,2009,,,,,,,,,,,,
CA-504,Santa Rosa Petaluma/Sonoma County CoC,3247,1025,2222,2009,,,,,,,,,,,,
CA-505,Richmond/Contra Costa County CoC,2759,887,1872,2009,,,,,,,,,,,,
CA-506,Salinas/Monterey San Benito Counties CoC,2407,779,1628,2009,,,,,,,,,,,,
CA-507,Marin County CoC,1026,597,429,2009,,,,,,,,,,,,
CA-508,Watsonville/Santa Cruz City & County CoC,2265,729,1536,2009,,,,,,,,,,,,
CA-509,Mendocino County CoC,1202,235,967,2009,,,,,,,,,,,,
CA-510,Turlock Modesto/Stanislaus County CoC,1800,801,999,2009,,,,,,,,,,,,
CA-511,Stockton/San Joaquin County CoC,3005,2840,165,2009,,,,,,,,,,,,
CA-512,Daly/San Mateo County CoC,1567,764,803,2009,,,,,,,,,,,,
CA-513,Visalia/Kings Tulare Counties CoC,966,210,756,2009,,,,,,,,,,,,
CA-514,Fresno City & County/Madera County CoC,4345,1888,2457,2009,,,,,,,,,,,,
CA-515,Roseville Rocklin/Placer County CoC,1054,572,482,2009,,,,,,,,,,,,
CA-516,Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC,340,194,146,2009,,,,,,,,,,,,
CA-517,Napa City & County CoC,314,186,128,2009,,,,,,,,,,,,
